team,venue,matches,wins,draws,losses,gf,ga,pts,xg,xga,xpts,goals_vs_xg,goals_allowed_vs_xga,pts_vs_xpts
Inter,home,12,9,1,2,33,10,28,34.76,9.67,29.38,1.76,-0.33,1.38
Napoli,home,11,8,3,0,19,9,27,16.81,12.62,18.24,-2.19,3.62,-8.76
Juventus,home,11,7,4,0,23,8,25,24.17,9.17,24.06,1.17,1.17,-0.94
AC Milan,home,11,7,3,1,17,9,24,23.43,10.82,23.56,6.43,1.82,-0.44
Como,home,12,6,5,1,20,7,23,25.02,12.02,23.47,5.02,5.02,0.47
Atalanta,home,12,6,4,2,18,9,22,27.63,13.61,25.21,9.63,4.61,3.21
Roma,home,11,7,1,3,14,6,22,18.10,9.59,21.13,4.10,3.59,-0.87
Lazio,home,12,5,4,3,18,14,19,16.39,17.29,14.89,-1.61,3.29,-4.11
Cagliari,home,11,4,3,4,15,13,15,11.42,15.38,12.87,-3.58,2.38,-2.13
Bologna,home,10,4,2,4,12,10,14,15.47,11.24,15.67,3.47,1.24,1.67
Sassuolo,home,11,4,2,5,12,14,14,13.12,17.23,12.93,1.12,3.23,-1.07
Torino,home,12,4,2,6,12,20,14,18.71,20.46,15.25,6.71,0.46,1.25
Genoa,home,12,3,4,5,12,15,13,13.84,18.18,13.20,1.84,3.18,0.20
Udinese,home,11,3,4,4,11,16,13,14.90,13.73,16.19,3.90,-2.27,3.19
Cremonese,home,11,2,5,4,11,15,11,13.34,17.85,12.34,2.34,2.85,1.34
Lecce,home,12,2,4,6,7,15,10,12.92,17.09,12.62,5.92,2.09,2.62
Parma Calcio 1913,home,12,2,4,6,8,17,10,11.63,21.01,11.95,3.63,4.01,1.95
Fiorentina,home,11,2,3,6,15,17,9,21.21,17.15,17.44,6.21,0.15,8.44
Pisa,home,12,1,4,7,3,14,7,13.46,17.98,12.73,10.46,3.98,5.73
Verona,home,11,1,3,7,11,19,6,12.42,12.39,15.03,1.42,-6.61,9.03
Inter,away,11,9,0,2,19,9,27,22.33,9.73,22.96,3.33,0.73,-4.04
AC Milan,away,11,6,5,0,18,8,23,15.96,13.53,17.10,-2.04,5.53,-5.90
Roma,away,11,7,0,4,13,7,21,16.02,16.65,15.50,3.02,9.65,-5.50
Juventus,away,12,6,2,4,16,10,20,19.40,10.87,21.95,3.40,0.87,1.95
Napoli,away,12,6,1,5,14,12,19,19.53,13.56,19.96,5.53,1.56,0.96
Como,away,11,5,3,3,17,9,18,16.81,14.69,16.30,-0.19,5.69,-1.70
Bologna,away,12,4,4,4,20,17,16,15.52,20.52,13.95,-4.48,3.52,-2.05
Udinese,away,11,5,1,5,14,18,16,13.79,20.47,11.58,-0.21,2.47,-4.42
Sassuolo,away,12,4,3,5,15,15,15,15.46,18.53,15.75,0.46,3.53,0.75
Atalanta,away,11,3,5,3,12,11,14,13.90,18.90,13.68,1.90,7.90,-0.32
Lazio,away,11,3,4,4,6,7,13,10.90,13.43,12.75,4.90,6.43,-0.25
Cagliari,away,12,3,4,5,13,18,13,13.10,22.22,10.69,0.10,4.22,-2.31
Parma Calcio 1913,away,11,3,4,4,7,13,13,12.66,18.74,12.19,5.66,5.74,-0.81
Cremonese,away,12,3,3,6,9,16,12,10.98,24.18,8.87,1.98,8.18,-3.13
Torino,away,11,3,3,5,10,20,12,12.71,16.30,13.97,2.71,-3.70,1.97
Genoa,away,11,2,4,5,15,19,10,15.85,17.74,13.75,0.85,-1.26,3.75
Fiorentina,away,12,1,5,6,10,19,8,15.66,21.27,12.56,5.66,2.27,4.56
Lecce,away,11,2,2,7,6,15,8,6.62,21.93,6.14,0.62,6.93,-1.86
Verona,away,12,1,5,6,7,22,8,13.43,20.14,13.19,6.43,-1.86,5.19
Pisa,away,11,0,7,4,16,26,7,13.85,25.34,11.53,-2.15,-0.66,4.53
